,id,rank,Country,Continent,Case_Fatality_Rate,Test_Percentage,Recovery_Proporation,TotalTests,Deaths_1M_pop
119,b1c7dda7-4fd3-4c84-9385-4a67aae6d0af,119,Trinidad and Tobago,North America,2.36,56.21,93.84,791987,2875.0
120,30371056-ab76-408a-ab94-6e90ea8d6727,120,Namibia,Africa,2.4,40.31,97.38,1062663,1542.0
121,38c9ecad-032b-490b-b53d-3926970e07e3,121,Uganda,Africa,2.14,6.17,59.35,3005582,74.0
122,45d2c117-d4d7-4ad4-92c2-a18419a2ac40,122,Ghana,Africa,0.87,7.68,98.96,2488605,45.0
123,6441ca62-ed56-432f-b0c0-3024122e2588,123,Jamaica,North America,2.18,38.4,64.1,1147461,1069.0
124,f01f73fb-71ea-4624-b07e-e86ac91bc8aa,124,Cambodia,Asia,2.23,17.55,97.61,3018468,178.0
125,1f86fa0e-6fd9-4730-87fd-0ddbc0f36c5a,125,Rwanda,Africa,1.11,41.57,34.43,5660532,108.0
126,34f83a43-85ad-481a-a2ee-85187b17353c,126,Cameroon,Africa,1.61,6.28,97.98,1751774,69.0
127,90d0759a-ecb8-4dd3-9312-e8f952e2834f,127,Malta,Europe,0.7,454.6,97.23,2018351,1786.0
128,b50812db-56f1-447e-968b-526934c83624,128,Angola,Africa,1.87,4.29,94.96,1499795,55.0
129,80ba148c-004a-40fa-8304-1b4195fc4a28,129,French Guiana,South America,0.44,206.56,12.16,650106,1293.0
130,cd1dfb64-b4f2-4661-b570-66a98c26eeb1,130,DRC,Africa,1.51,0.89,55.25,846704,15.0
131,c8f46d40-0f9b-4a75-bbca-97461b78c8b8,131,Barbados,North America,0.54,252.68,96.06,727991,1711.0
132,797ccfb3-faf9-46fe-8e11-db4c9ea50700,132,Channel Islands,Europe,0.21,707.07,98.58,1252808,1055.0
133,b7cb925f-fc60-4ed0-b0d8-fd0a77dae164,133,Malawi,Africa,3.05,2.99,95.95,602296,132.0
134,35347f67-6496-45b8-b013-622e97792c33,134,Senegal,Africa,2.25,6.43,97.41,1134821,111.0
135,bbfdfb8a-1a86-4ad2-a36c-38f6c9cbf0c4,135,Ivory Coast,Africa,0.95,5.7,98.9,1579489,29.0
136,93bf229f-1445-4ce5-aa0a-63c907479092,136,Suriname,South America,1.7,39.91,61.26,238452,2310.0
137,6b425e6c-2b37-480f-bfe9-3531d926ef63,137,French Polynesia,Australia/Oceania,0.86,0.0,0.0,0,2283.0
138,5f88cfd7-6a96-4234-86e2-050ea154a08d,138,Eswatini,Africa,1.93,87.83,98.02,1040785,1196.0
139,d53fe90c-410d-4315-a7ba-941fab44867d,139,Guyana,South America,1.82,85.14,97.25,676380,1600.0
140,0bc14339-2009-4132-a9f6-2a27ed8dd533,140,New Caledonia,Australia/Oceania,0.45,33.99,96.1,98964,1078.0
